Date,Plot,Group,Air_temp_TT,Temp_1,Temp_2,Temp_3,Temp_4,SM_1,SM_2,SM_3,SM_4,SWC
2020-07-30,BC1,BC,15.031,NA,NA,NA,NA,605,628,752,930,0.323638072
2020-07-30,BC2,BC,15.031,NA,NA,NA,NA,654,269,698,815,0.250597319
2020-07-30,BC3,BC,15.031,NA,NA,NA,NA,692,863,770,718,0.344583446
2020-07-30,BC4,BC,15.031,NA,NA,NA,NA,628,713,726,737,0.305994745
2020-07-30,BC5,BC,15.031,NA,NA,NA,NA,190,749,562,654,0.212319551
2020-07-30,BC6,BC,15.031,NA,NA,NA,NA,669,870,629,533,0.289997741
2020-07-30,BC7,BC,15.031,NA,NA,NA,NA,781,974,936,835,0.4363395
2020-07-30,BE1,BE,15.031,NA,NA,NA,NA,1049,975,957,1001,0.583580405
2020-07-30,BE2,BE,15.031,NA,NA,NA,NA,999,870,906,1035,0.515355096
2020-07-30,BE3,BE,15.031,NA,NA,NA,NA,1038,804,789,751,0.405606905
2020-07-30,BE4,BE,15.031,NA,NA,NA,NA,1096,1000,982,1003,0.633552454
2020-07-30,BE5,BE,15.031,NA,NA,NA,NA,976,947,683,574,0.367982393
2020-07-30,BE6,BE,15.031,NA,NA,NA,NA,880,1057,1022,989,0.56840873
2020-07-30,BE7,BE,15.031,NA,NA,NA,NA,1114,972,950,836,0.537639981
2020-07-30,HC1,HC,15.031,NA,NA,NA,NA,424,895,528,899,0.296943149
2020-07-30,HC2,HC,15.031,NA,NA,NA,NA,801,721,814,855,0.369919531
2020-07-30,HC3,HC,15.031,NA,NA,NA,NA,1038,1038,895,799,0.50213971
2020-07-30,HC4,HC,15.031,NA,NA,NA,NA,782,1012,775,904,0.424519505
2020-07-30,HC5,HC,15.031,NA,NA,NA,NA,1051,1043,994,817,0.550497459
2020-07-30,HC6,HC,15.031,NA,NA,NA,NA,710,848,933,955,0.418740864
2020-07-30,HC7,HC,15.031,NA,NA,NA,NA,373,875,875,571,0.288923486
2020-07-30,HE1,HE,15.031,NA,NA,NA,NA,973,961,876,1043,0.530561897
2020-07-30,HE2,HE,15.031,NA,NA,NA,NA,852,888,895,822,0.42107672
2020-07-30,HE3,HE,15.031,NA,NA,NA,NA,652,680,803,748,0.318506786
2020-07-30,HE4,HE,15.031,NA,NA,NA,NA,1087,892,1025,785,0.508311054
2020-07-30,HE5,HE,15.031,NA,NA,NA,NA,968,1077,1010,1068,0.657710858
2020-07-30,HE6,HE,15.031,NA,NA,NA,NA,1008,972,952,886,0.518102668
2020-07-30,HE7,HE,15.031,NA,NA,NA,NA,1024,877,1063,821,0.506996222
2020-07-31,BC1,BC,13.112,11.2,11.6,11.3,13.0,580,743,823,691,0.311195121
2020-07-31,BC2,BC,13.112,12.0,12.5,13.7,11.0,748,533,576,635,0.258689333
2020-07-31,BC3,BC,13.112,10.4,10.5,10.3,10.1,393,524,776,773,0.254915207
2020-07-31,BC4,BC,13.112,10.8,10.3,10.3,10.7,674,787,840,946,0.379950221
2020-07-31,BC5,BC,13.112,11.0,11.5,11.6,12.4,324,617,445,707,0.204455677
2020-07-31,BC6,BC,13.112,10.2,10.1,10.2,9.9,761,267,752,466,0.224257643
2020-07-31,BC7,BC,13.112,10.1,9.3,10.5,11.7,726,901,788,557,0.332876628
2020-07-31,BE1,BE,13.112,10.8,11.4,10.7,11.1,964,1029,825,745,0.445012985
2020-07-31,BE2,BE,13.112,10.1,11.5,10.7,10.3,646,772,346,862,0.278576221
2020-07-31,BE3,BE,13.112,11.0,11.5,10.1,10.1,904,915,816,640,0.385083757
2020-07-31,BE4,BE,13.112,10.7,10.2,10.4,12.2,885,932,957,973,0.494912389
2020-07-31,BE5,BE,13.112,10.1,10.1,10.5,9.9,866,884,950,834,0.43818365
2020-07-31,BE6,BE,13.112,10.3,9.4,9.4,10.2,907,1050,903,720,0.449127298
2020-07-31,BE7,BE,13.112,11.1,10.7,10.4,10.2,1036,937,750,669,0.407611201
2020-07-31,HC1,HC,13.112,10.5,9.9,10.0,10.7,617,465,519,738,0.236923251
2020-07-31,HC2,HC,13.112,11.2,10.8,11.4,11.1,766,890,926,881,0.422361378
2020-07-31,HC3,HC,13.112,10.7,10.1,10.5,11.1,1022,832,903,955,0.484392888
2020-07-31,HC4,HC,13.112,8.9,10.3,8.8,8.9,963,830,693,919,0.410242129
2020-07-31,HC5,HC,13.112,9.1,9.6,9.1,9.7,696,948,871,970,0.427138186
2020-07-31,HC6,HC,13.112,8.4,9.1,8.9,9.1,783,710,722,740,0.330107421
2020-07-31,HC7,HC,13.112,10.0,11.0,10.4,12.6,968,677,886,650,0.36815808
2020-07-31,HE1,HE,13.112,11.5,12.1,12.3,11.3,1063,1000,870,388,0.393715908
2020-07-31,HE2,HE,13.112,11.0,12.0,10.5,10.6,760,510,534,596,0.245469952
2020-07-31,HE3,HE,13.112,10.6,9.1,9.3,9.9,394,579,763,972,0.291073661
2020-07-31,HE4,HE,13.112,10.8,10.3,10.1,10.0,1085,745,836,1003,0.47219303
2020-07-31,HE5,HE,13.112,8.8,9.0,9.2,9.4,1015,977,861,1001,0.530928749
2020-07-31,HE6,HE,13.112,9.0,9.2,9.1,9.7,949,829,880,1011,0.47219303
2020-07-31,HE7,HE,13.112,9.5,11.0,10.5,9.4,821,887,990,803,0.430680817
2020-08-01,BC1,BC,13.088,12.2,13.6,13.3,14.2,610,597,374,685,0.226942767
2020-08-01,BC2,BC,13.088,11.8,12.5,11.4,11.6,590,455,764,546,0.239147308
2020-08-01,BC3,BC,13.088,11.1,10.8,11.6,14.1,598,762,821,1087,0.383792314
2020-08-01,BC4,BC,13.088,11.2,10.6,11.2,10.1,383,842,801,852,0.317708415
2020-08-01,BC5,BC,13.088,12.6,12.1,12.9,14.0,241,621,208,756,0.173110913
2020-08-01,BC6,BC,13.088,10.9,10.1,10.8,10.1,526,685,497,520,0.221859659
2020-08-01,BC7,BC,13.088,11.3,8.9,10.3,12.3,779,975,898,691,0.39794159
2020-08-01,BE1,BE,13.088,11.8,11.9,11.4,12.2,931,890,839,823,0.426699502
2020-08-01,BE2,BE,13.088,10.7,10.5,11.3,10.9,592,989,857,868,0.390872101
2020-08-01,BE3,BE,13.088,10.3,11.4,11.6,10.5,830,898,873,709,0.391627598
2020-08-01,BE4,BE,13.088,9.8,10.7,10.5,11.6,878,1008,930,905,0.487045048
2020-08-01,BE5,BE,13.088,10.6,10.8,11.8,10.7,836,848,960,784,0.414970624
2020-08-01,BE6,BE,13.088,11.1,10.3,12.1,11.3,903,733,924,707,0.383608271
2020-08-01,BE7,BE,13.088,11.4,11.5,11.3,10.5,977,862,824,726,0.407008163
2020-08-01,HC1,HC,13.088,11.4,10.7,11.7,10.7,403,538,710,579,0.222125223
2020-08-01,HC2,HC,13.088,11.0,11.5,13.1,11.3,656,579,519,664,0.24802612
2020-08-01,HC3,HC,13.088,10.9,11.7,11.4,12.2,958,834,663,964,0.413108788
2020-08-01,HC4,HC,13.088,9.6,10.0,10.0,9.4,1071,960,917,990,0.564120346
2020-08-01,HC5,HC,13.088,9.9,9.6,9.5,9.8,1044,940,860,940,0.50666883
2020-08-01,HC6,HC,13.088,8.9,10.3,9.5,9.4,643,719,911,525,0.305053168
2020-08-01,HC7,HC,13.088,10.1,10.8,11.5,11.4,347,682,557,603,0.216725568
2020-08-01,HE1,HE,13.088,13.8,14.3,12.8,12.7,1038,935,984,962,0.556179939
2020-08-01,HE2,HE,13.088,11.0,11.4,10.5,10.5,670,556,591,668,0.257670361
2020-08-01,HE3,HE,13.088,10.1,10.9,9.8,10.1,721,903,817,838,0.385824225
2020-08-01,HE4,HE,13.088,10.7,12.1,10.3,10.2,1066,970,805,975,0.517412383
2020-08-01,HE5,HE,13.088,9.2,11.3,10.1,9.9,783,1062,816,940,0.454330463
2020-08-01,HE6,HE,13.088,9.5,9.7,9.6,10.7,1001,961,893,946,0.512306788
2020-08-01,HE7,HE,13.088,10.2,11.4,11.2,10.4,946,1071,1004,939,0.573657377
2020-08-02,BC1,BC,14.17,11.9,13.4,13.4,13.8,504,405,719,456,0.203332642
2020-08-02,BC2,BC,14.17,11.6,11.6,11.8,11.5,538,540,588,644,0.232925202
2020-08-02,BC3,BC,14.17,11.3,11.5,10.9,11.0,660,825,770,728,0.334675073
2020-08-02,BC4,BC,14.17,10.9,10.6,10.9,10.4,605,926,943,826,0.389742652
2020-08-02,BC5,BC,14.17,11.7,12.2,12.3,14.2,646,474,376,475,0.189632757
2020-08-02,BC6,BC,14.17,10.6,10.1,10.9,10.5,581,722,523,417,0.223856747
2020-08-02,BC7,BC,14.17,10.7,8.5,10.7,12.3,586,666,698,761,0.291535277
2020-08-02,BE1,BE,14.17,11.1,11.0,11.1,11.9,668,892,469,845,0.317070364
2020-08-02,BE2,BE,14.17,10.4,10.7,10.9,11.0,725,822,916,904,0.40263096
2020-08-02,BE3,BE,14.17,10.0,10.9,10.8,10.5,837,733,663,573,0.306308872
2020-08-02,BE4,BE,14.17,9.7,10.0,12.0,11.5,699,953,664,837,0.363269014
2020-08-02,BE5,BE,14.17,10.2,10.5,11.5,10.6,868,853,726,791,0.378317795
2020-08-02,BE6,BE,14.17,10.6,10.7,11.3,11.2,1038,907,873,545,0.401843361
2020-08-02,BE7,BE,14.17,11.1,11.3,10.9,10.6,876,655,629,815,0.33336659
2020-08-02,HC1,HC,14.17,10.7,10.7,11.1,10.7,403,454,679,762,0.23128352
2020-08-02,HC2,HC,14.17,11.6,11.1,11.9,11.8,447,876,832,588,0.296478011
2020-08-02,HC3,HC,14.17,11.0,11.2,11.1,11.6,1008,814,668,883,0.403817037
2020-08-02,HC4,HC,14.17,8.8,10.0,9.8,9.4,1033,725,953,913,0.460191556
2020-08-02,HC5,HC,14.17,9.7,9.2,9.5,10.2,761,965,1042,592,0.401254277
2020-08-02,HC6,HC,14.17,8.8,9.4,9.1,9.4,679,746,706,772,0.321709381
2020-08-02,HC7,HC,14.17,9.8,10.6,10.5,11.8,461,790,634,424,0.232788109
2020-08-02,HE1,HE,14.17,12.1,13.2,11.3,11.5,976,874,745,899,0.429123581
2020-08-02,HE2,HE,14.17,10.9,10.8,10.1,10.2,735,577,422,759,0.258835071
2020-08-02,HE3,HE,14.17,9.9,10.1,9.9,9.9,575,511,780,970,0.31103699
2020-08-02,HE4,HE,14.17,11.0,11.5,10.1,10.7,864,676,815,917,0.384529605
2020-08-02,HE5,HE,14.17,10.1,10.4,10.0,10.3,967,1036,879,888,0.50213971
2020-08-02,HE6,HE,14.17,9.8,9.6,9.7,10.6,815,907,918,908,0.441451713
2020-08-02,HE7,HE,14.17,10.4,11.7,10.7,10.9,935,921,727,523,0.355191795
2020-08-04,BC1,BC,7.293,10.7,10.7,10.9,11.5,603,842,573,572,0.273165341
2020-08-04,BC2,BC,7.293,11.1,10.7,10.7,10.0,501,573,645,679,0.245186875
2020-08-04,BC3,BC,7.293,10.0,9.9,9.8,10.3,755,607,861,767,0.33582232
2020-08-04,BC4,BC,7.293,10.1,10.3,9.7,10.0,835,666,841,893,0.377775474
2020-08-04,BC5,BC,7.293,10.7,10.3,10.8,11.0,452,609,543,400,0.19355715
2020-08-04,BC6,BC,7.293,9.5,9.7,9.8,9.7,710,598,824,520,0.282513353
2020-08-04,BC7,BC,7.293,10.1,8.7,10.6,10.9,520,1033,953,735,0.378861021
2020-08-04,BE1,BE,7.293,9.9,10.0,10.0,10.2,911,759,687,1041,0.408821853
2020-08-04,BE2,BE,7.293,9.6,9.4,9.8,9.7,769,927,846,828,0.403223291
2020-08-04,BE3,BE,7.293,9.1,9.6,9.4,9.2,523,868,770,736,0.320747058
2020-08-04,BE4,BE,7.293,9.1,9.3,10.3,9.7,724,1039,683,910,0.400470958
2020-08-04,BE5,BE,7.293,9.1,9.4,10.0,9.5,620,910,866,861,0.381773883
2020-08-04,BE6,BE,7.293,9.2,9.4,10.0,9.7,980,665,806,561,0.339442536
2020-08-04,BE7,BE,7.293,9.9,9.9,9.6,9.4,994,945,639,822,0.409226776
2020-08-04,HC1,HC,7.293,9.7,9.7,9.7,9.8,815,412,622,743,0.273464684
2020-08-04,HC2,HC,7.293,10.3,10.3,10.5,10.1,884,650,701,770,0.338288201
2020-08-04,HC3,HC,7.293,10.5,10.0,10.3,10.7,879,827,685,937,0.395053204
2020-08-04,HC4,HC,7.293,8.3,8.9,8.6,8.6,864,1015,929,838,0.46596689
2020-08-04,HC5,HC,7.293,8.8,8.9,9.1,9.1,962,895,731,506,0.353153089
2020-08-04,HC6,HC,7.293,8.3,8.8,8.9,9.0,752,801,781,737,0.349270038
2020-08-04,HC7,HC,7.293,9.4,9.9,10.2,10.4,568,292,814,885,0.268545008
2020-08-04,HE1,HE,7.293,10.7,10.6,10.3,10.5,1027,894,754,790,0.422791286
2020-08-04,HE2,HE,7.293,9.6,9.5,9.3,9.3,557,641,729,724,0.28236148
2020-08-04,HE3,HE,7.293,9.2,9.0,8.9,9.2,652,742,619,555,0.26988259
2020-08-04,HE4,HE,7.293,9.8,9.8,9.3,9.3,1062,685,863,846,0.420863342
2020-08-04,HE5,HE,7.293,8.7,9.3,9.0,9.0,895,1111,980,914,0.548501611
2020-08-04,HE6,HE,7.293,9.0,8.9,9.0,9.1,984,696,1020,1016,0.48556723
2020-08-04,HE7,HE,7.293,9.3,9.7,9.6,9.4,1002,983,934,811,0.489733255
2020-08-05,BC1,BC,10.149,10.3,10.3,10.8,10.8,517,748,743,702,0.291381371
