Run,Plot,Vegetation,Status,Sample_type,Year,N_percent,delta_15N,C_percent,delta_13C,delta_18O
3,BC1,Cassiope,Browning,Core,2020,0.264115028,1.464509696,6.123329948,-25.71121082,35.70066388
3,BC2,Cassiope,Browning,Core,2020,0.621426448,0.279083565,18.60774243,-26.20149871,30.22555883
2,BC3,Cassiope,Browning,Core,2020,0.316969329,1.511943287,9.840008223,-26.30499559,32.08903182
2,BC4,Cassiope,Browning,Core,2020,0.519778402,0.517341107,15.38547867,-26.11412005,29.43877897
2,BC5,Cassiope,Browning,Core,2020,0.596786789,0.990209161,18.0202073,-26.74495769,27.90784889
3,BC6,Cassiope,Browning,Core,2020,0.147330215,1.41154944,3.509921282,-25.84467545,39.52169476
3,BC7,Cassiope,Browning,Core,2020,0.636529609,1.541779558,20.04756018,-25.36058087,32.3537691
2,BE1,Empetrum,Browning,Core,2020,0.367800516,3.500468169,10.25686349,-25.9103423,30.03077246
2,BE2,Empetrum,Browning,Core,2020,0.214184736,3.151702156,7.311657692,-26.29259479,34.41320606
2,BE3,Empetrum,Browning,Core,2020,0.151339146,7.437036847,4.827796655,-26.54082365,34.81745384
2,BE4,Empetrum,Browning,Core,2020,0.42510234,0.539675082,12.85286651,-25.23269559,29.34019235
2,BE5,Empetrum,Browning,Core,2020,0.190638035,4.531004954,5.198530011,-26.05129133,33.97246218
2,BE6,Empetrum,Browning,Core,2020,0.266428133,3.875470616,5.994146499,-26.20251696,34.3438762
2,BE7,Empetrum,Browning,Core,2020,0.283083017,1.892441222,7.808757875,-26.41997771,32.97154966
3,HC1,Cassiope,Healthy,Core,2020,0.252678869,1.440422507,7.398777827,-25.74006289,33.55655061
2,HC2,Cassiope,Healthy,Core,2020,0.671974235,5.339959374,15.22453967,-25.65811166,31.61961764
3,HC3,Cassiope,Healthy,Core,2020,0.34756267,2.746695302,8.673928795,-25.98814235,32.31979395
2,HC4,Cassiope,Healthy,Core,2020,1.302047336,3.58E-02,31.41717904,-25.49722963,31.07475623
2,HC5,Cassiope,Healthy,Core,2020,1.465907321,0.74519852,42.27829041,-25.92495297,27.70461211
3,HC6,Cassiope,Healthy,Core,2020,0.74209689,-0.783772385,22.85457173,-25.99090368,30.01549726
3,HC7,Cassiope,Healthy,Core,2020,0.173180672,2.858915531,4.240585713,-26.53333344,36.17911149
2,HE1,Empetrum,Healthy,Core,2020,0.394915133,5.34740906,10.0893422,-25.26176551,29.70978049
2,HE2,Empetrum,Healthy,Core,2020,0.620133205,-4.82E-02,17.33342496,-26.0423389,29.52445188
2,HE3,Empetrum,Healthy,Core,2020,0.245667059,2.960259933,7.434322499,-26.01907121,31.50862315
2,HE4,Empetrum,Healthy,Core,2020,0.266808895,0.726060668,7.337277264,-26.53971925,32.01467004
2,HE5,Empetrum,Healthy,Core,2020,0.48281013,1.475943846,11.14024256,-25.558625,31.09795303
2,HE6,Empetrum,Healthy,Core,2020,0.985366195,3.996000475,16.78738679,-24.91941039,30.37902435
2,HE7,Empetrum,Healthy,Core,2020,0.510199365,2.356088851,10.12414609,-25.59705071,32.07642802
3,BC1,Cassiope,Browning,BSC,2022,0.918837494,-0.423169773,22.28140186,-25.22063999,30.45643528
3,BC2,Cassiope,Browning,BSC,2022,1.012748618,0.73151775,21.71267736,-24.60924537,30.68904525
3,BC3,Cassiope,Browning,BSC,2022,1.082877942,2.324563838,22.5203927,-24.57369426,30.3145215
3,BC4,Cassiope,Browning,BSC,2022,0.988722386,0.336969744,26.23998226,-25.4625402,30.81027047
3,BC5,Cassiope,Browning,BSC,2022,0.953192512,-2.37000178,29.08737494,-26.31506515,30.42371573
3,BC6,Cassiope,Browning,BSC,2022,1.117139619,8.15E-02,30.14649332,-25.0745938,30.3415004
3,BC7,Cassiope,Browning,BSC,2022,0.999709025,-0.226511328,23.78401162,-25.03236159,31.1779795
3,BC8,Cassiope,Browning,BSC,2022,0.670509943,1.141660051,11.46969054,-25.98153174,30.2793228
3,BC9,Cassiope,Browning,BSC,2022,0.935815699,0.593967237,24.13864866,-25.36556287,30.75288044
3,BE1,Empetrum,Browning,BSC,2022,1.036229835,-0.251756966,25.21045922,-24.26935437,30.68706805
3,BE2,Empetrum,Browning,BSC,2022,1.035502233,-0.977977115,31.82747106,-25.06655619,30.40314286
3,HC1,Cassiope,Healthy,BSC,2022,0.909810768,-2.446429705,37.47696525,-26.40570224,28.89722556
3,HC2,Cassiope,Healthy,BSC,2022,1.108344225,-0.877526875,32.1013475,-25.58394645,29.30802037
3,HC3,Cassiope,Healthy,BSC,2022,1.185950963,-1.609977082,55.66157394,-26.32812327,28.12720568
3,HC4,Cassiope,Healthy,BSC,2022,1.084176248,-1.114802371,32.8029412,-25.83089291,30.74342599
3,HC5,Cassiope,Healthy,BSC,2022,0.961224903,-1.013530414,32.23716254,-26.27200179,31.00124658
3,HC6,Cassiope,Healthy,BSC,2022,0.934543396,-1.532740428,30.52450652,-26.13329617,29.86113157
3,HC7,Cassiope,Healthy,BSC,2022,1.070050486,-1.895624968,41.01089636,-27.48892109,30.7747522
3,HC8,Cassiope,Healthy,BSC,2022,1.021823586,-2.031638692,26.49814504,-25.26087324,30.62728299
3,HC9,Cassiope,Healthy,BSC,2022,0.834261824,-0.701895191,17.51273468,-24.78046462,31.38874567
3,HE1,Empetrum,Healthy,BSC,2022,1.271163999,1.261108406,28.66940745,-24.96516912,31.03310253
3,HE2,Empetrum,Healthy,BSC,2022,1.234481091,-1.507084847,30.88464769,-25.7553559,31.37101586
