Sample_number,Plot,Status,Vegetation,Sample_type,Year,Sampling_date,Processing_date,Tray_weight_g,Soil_wet_weight_g,Tray_and_dry_soil_weight_g,dry_soil_weight_g,GWC,g_swc_perc
6,BC,Browning,Cassiope,BDC,2020,2020-08-09,2022-09-12,10.7,97.5,38,27.3,2.6,257.1
8,BE,Browning,Empetrum,BDC,2020,2020-08-08,2022-09-12,12.3,43.4,23,10.7,3.1,305.6
7,HC,Healthy,Cassiope,BDC,2020,2020-08-09,2022-09-12,10.5,108.5,51.9,41.4,1.6,162.1
9,HE,Healthy,Empetrum,BDC,2020,2020-08-08,2022-09-12,10.2,40.2,19.4,9.2,3.4,337
31,BC1,Browning,Cassiope,BSC,2020,2020-08-09,2022-09-12,11.5,44.7,22.5,11,3.1,306.4
30,BC2,Browning,Cassiope,BSC,2020,2020-08-09,2022-09-12,11.5,38.6,19.7,8.2,3.7,370.7
32,BC3,Browning,Cassiope,BSC,2020,2020-08-09,2022-09-12,10.1,49,21.2,11.1,3.4,341.4
34,BC4,Browning,Cassiope,BSC,2020,2020-08-09,2022-09-12,11.1,57.9,22.5,11.4,4.1,407.9
33,BC5,Browning,Cassiope,BSC,2020,2020-08-09,2022-09-12,10.5,60.3,45.7,35.2,0.7,71.3
35,BC6,Browning,Cassiope,BSC,2020,2020-08-09,2022-09-12,12.4,46.8,19.6,7.2,5.5,550
36,BC7,Browning,Cassiope,BSC,2020,2020-08-09,2022-09-12,11.9,49.3,21.8,9.9,4,398
16,BE1,Browning,Empetrum,BSC,2020,2020-08-08,2022-09-12,10.6,45.6,21.9,11.3,3,303.5
17,BE2,Browning,Empetrum,BSC,2020,2020-08-08,2022-09-12,10.7,43.7,22.7,12,2.6,264.2
22,BE3,Browning,Empetrum,BSC,2020,2020-08-08,2022-09-12,7,29.9,14.8,7.8,2.8,283.3
25,BE4,Browning,Empetrum,BSC,2020,2020-08-08,2022-09-12,7.6,27.2,14.5,6.9,2.9,294.2
20,BE5,Browning,Empetrum,BSC,2020,2020-08-08,2022-09-12,7.4,26.4,15.7,8.3,2.2,218.1
13,BE6,Browning,Empetrum,BSC,2020,2020-08-08,2022-09-12,11.1,47,20.9,9.8,3.8,379.6
14,BE7,Browning,Empetrum,BSC,2020,2020-08-08,2022-09-12,11.3,30.3,19.5,8.2,2.7,269.5
37,HC1,Healthy,Cassiope,BSC,2020,2020-08-09,2022-09-12,11.3,27.9,15.9,4.6,5.1,506.5
26,HC2,Healthy,Cassiope,BSC,2020,2020-08-09,2022-09-12,7.2,59.1,32.3,25.1,1.4,135.5
27,HC3,Healthy,Cassiope,BSC,2020,2020-08-09,2022-09-12,7.3,42.9,14.5,7.2,5,495.8
28,HC4,Healthy,Cassiope,BSC,2020,2020-08-09,2022-09-12,8.6,29.7,13,4.4,5.8,575
29,HC5,Healthy,Cassiope,BSC,2020,2020-08-09,2022-09-12,6.5,59.8,16.3,9.8,5.1,510.2
11,HC6 ,Healthy,Cassiope,BSC,2020,2020-08-09,2022-09-12,10.9,36.5,16.9,6,5.1,508.3
10,HC7 ,Healthy,Cassiope,BSC,2020,2020-08-09,2022-09-12,10.1,83.1,50.9,40.8,1,103.7
15,HE1,Healthy,Empetrum,BSC,2020,2020-08-08,2022-09-12,11.3,99,68.9,57.6,0.7,71.9
21,HE2,Healthy,Empetrum,BSC,2020,2020-08-08,2022-09-12,6.8,22.9,14.8,8,1.9,186.3
24,HE3,Healthy,Empetrum,BSC,2020,2020-08-08,2022-09-12,6.3,21.2,13.7,7.4,1.9,186.5
18,HE4,Healthy,Empetrum,BSC,2020,2020-08-08,2022-09-12,10.9,34.2,16.8,5.9,4.8,479.7
12,HE5 ,Healthy,Empetrum,BSC,2020,2020-08-08,2022-09-12,10.9,23.8,15.4,4.5,4.3,428.9
19,HE6,Healthy,Empetrum,BSC,2020,2020-08-08,2022-09-12,10.5,22.8,14.9,4.4,4.2,418.2
23,HE7,Healthy,Empetrum,BSC,2020,2020-08-08,2022-09-12,6.7,21.8,14.5,7.8,1.8,179.5
191,BC1,Browning,Cassiope,BSC,2022,2022-07-29,2022-11-07,0,39.5,0,21.8,0.8,81.2
190,BC2,Browning,Cassiope,BSC,2022,2022-07-29,2022-11-07,0,65.2,0,22.3,1.9,192.4
188,BC3,Browning,Cassiope,BSC,2022,2022-07-29,2022-11-07,0,61.8,0,21.7,1.8,184.8
184,BC4,Browning,Cassiope,BSC,2022,2022-07-29,2022-11-07,0,95.1,0,35.1,1.7,170.9
187,BC5,Browning,Cassiope,BSC,2022,2022-07-29,2022-11-07,0,30.3,0,8.8,2.4,244.3
179,BC6,Browning,Cassiope,BSC,2022,2022-07-30,2022-11-07,0,95.7,0,34.3,1.8,179
189,BC7,Browning,Cassiope,BSC,2022,2022-07-30,2022-11-07,0,57.1,0,20.6,1.8,177.2
194,BC8,Browning,Cassiope,BSC,2022,2022-07-30,2022-11-07,0,64.7,0,46.6,0.4,38.8
182,BC9,Browning,Cassiope,BSC,2022,2022-07-29,2022-11-07,0,38.2,0,17.6,1.2,117
177,BE1,Browning,Empetrum,BSC,2022,2022-07-30,2022-11-07,0,65.9,0,23,1.9,186.5
195,BE2,Browning,Empetrum,BSC,2022,2022-07-30,2022-11-07,0,19.7,0,10.5,0.9,87.6
197,HC1,Healthy,Cassiope,BSC,2022,2022-07-29,2022-11-07,0,14.4,0,6.2,1.3,132.3
183,HC2,Healthy,Cassiope,BSC,2022,2022-07-29,2022-11-07,0,36.5,0,11.7,2.1,212
180,HC3,Healthy,Cassiope,BSC,2022,2022-07-30,2022-11-07,0,36.7,0,10.8,2.4,239.8
185,HC4,Healthy,Cassiope,BSC,2022,2022-07-29,2022-11-07,0,29.2,0,8.6,2.4,239.5
181,HC5,Healthy,Cassiope,BSC,2022,2022-07-29,2022-11-07,0,24.9,0,7.3,2.4,241.1
192,HC6 ,Healthy,Cassiope,BSC,2022,2022-07-30,2022-11-07,0,20.7,0,8.4,1.5,146.4
199,HC7 ,Healthy,Cassiope,BSC,2022,2022-07-30,2022-11-07,0,18.2,0,7.4,1.5,145.9
200,HC8,Healthy,Cassiope,BSC,2022,2022-07-30,2022-11-07,0,36.4,0,9.8,2.7,271.4
178,HC9,Healthy,Cassiope,BSC,2022,2022-07-30,2022-11-07,0,41.5,0,16,1.6,159.4
198,HE1,Healthy,Empetrum,BSC,2022,2022-07-30,2022-11-07,0,51.1,0,13.6,2.8,275.7
193,HE2,Healthy,Empetrum,BSC,2022,2022-07-31,2022-11-07,0,17.4,0,7.1,1.5,145.1
