Sample_number,Plot,Sample_type,Status,Vegetation,Year,Sampling_date,Processing_date,Soil_dry_weight_h2o,pH_H2O,Soil_dry_weight_kcl,pH_KCl,Sample_processing
6,BC,BDC,Browning,Cassiope,2020,2020-08-09,2022-11-26,5.006,3.83,NA,NA,NA
8,BE,BDC,Browning,Empetrum,2020,2020-08-08,2022-12-02,2.4174,3.27,NA,NA,NA
7,HC,BDC,Healthy,Cassiope,2020,2020-08-09,2022-11-26,5.0036,4.75,NA,NA,NA
9,HE,BDC,Healthy,Empetrum,2020,2020-08-08,2022-11-26,2.0114,4,NA,NA,NA
31,BC1,BSC,Browning,Cassiope,2020,2020-08-09,2022-12-02,2.2487,3.63,NA,NA,NA
30,BC2,BSC,Browning,Cassiope,2020,2020-08-09,2022-12-02,2.0302,3.62,NA,NA,NA
32,BC3,BSC,Browning,Cassiope,2020,2020-08-09,2022-12-02,5.0324,3.3,NA,NA,NA
34,BC4,BSC,Browning,Cassiope,2020,2020-08-09,2022-12-02,5.0641,3.38,NA,NA,NA
33,BC5,BSC,Browning,Cassiope,2020,2020-08-09,2022-12-02,5.0901,3.47,NA,NA,NA
35,BC6,BSC,Browning,Cassiope,2020,2020-08-09,2022-12-02,2.1926,3.74,NA,NA,NA
36,BC7,BSC,Browning,Cassiope,2020,2020-08-09,2022-12-02,5.1984,3.25,NA,NA,NA
16,BE1,BSC,Browning,Empetrum,2020,2020-08-08,2022-12-02,2.5518,3.21,NA,NA,NA
17,BE2,BSC,Browning,Empetrum,2020,2020-08-08,2022-12-02,5.0815,3.27,NA,NA,NA
22,BE3,BSC,Browning,Empetrum,2020,2020-08-08,2022-12-02,2.6963,3.63,NA,NA,NA
25,BE4,BSC,Browning,Empetrum,2020,2020-08-08,2022-12-02,2.0397,3.39,NA,NA,NA
20,BE5,BSC,Browning,Empetrum,2020,2020-08-08,2022-12-02,2.8525,3.39,NA,NA,NA
13,BE6,BSC,Browning,Empetrum,2020,2020-08-08,2022-12-02,2.0933,3.42,NA,NA,NA
14,BE7,BSC,Browning,Empetrum,2020,2020-08-08,2022-12-02,2.0345,3.33,NA,NA,NA
37,HC1,BSC,Healthy,Cassiope,2020,2020-08-09,2022-12-02,2.1606,3.3,NA,NA,NA
26,HC2,BSC,Healthy,Cassiope,2020,2020-08-09,2022-12-02,5.0173,3.22,NA,NA,NA
27,HC3,BSC,Healthy,Cassiope,2020,2020-08-09,2022-12-02,2.0925,3.51,NA,NA,NA
28,HC4,BSC,Healthy,Cassiope,2020,2020-08-09,2022-12-02,2.1146,3.63,NA,NA,NA
29,HC5,BSC,Healthy,Cassiope,2020,2020-08-09,2022-12-02,2.0448,3.47,NA,NA,NA
11,HC6,BSC,Healthy,Cassiope,2020,2020-08-09,2022-12-02,2.0618,3.63,NA,NA,NA
10,HC7,BSC,Healthy,Cassiope,2020,2020-08-09,2022-12-02,5.2585,3.71,NA,NA,NA
15,HE1,BSC,Healthy,Empetrum,2020,2020-08-08,2022-12-02,5.1326,3.19,NA,NA,NA
21,HE2,BSC,Healthy,Empetrum,2020,2020-08-08,2022-12-02,2.0734,3.16,NA,NA,NA
24,HE3,BSC,Healthy,Empetrum,2020,2020-08-08,2022-12-02,2.0313,3.3,NA,NA,NA
18,HE4,BSC,Healthy,Empetrum,2020,2020-08-08,2022-12-02,2.0499,3.47,NA,NA,NA
12,HE5,BSC,Healthy,Empetrum,2020,2020-08-08,2022-12-02,2.0235,3.45,NA,NA,NA
19,HE6,BSC,Healthy,Empetrum,2020,2020-08-08,2022-12-02,2.0123,3.48,NA,NA,NA
23,HE7,BSC,Healthy,Empetrum,2020,2020-08-08,2022-12-02,2.2482,3.23,NA,NA,NA
209,BC1,Core,Browning,Cassiope,2020,2020-08-09,2022-12-04,5.0447,4.46,5.0205,3.41,HG
211,BC2,Core,Browning,Cassiope,2020,2020-08-09,2022-12-04,5.0957,4.35,NA,NA,HG
204,BC3,Core,Browning,Cassiope,2020,2020-08-09,2022-12-04,5.7204,4.39,NA,NA,HG
210,BC4,Core,Browning,Cassiope,2020,2020-08-09,2022-12-04,5.0587,4.18,5.0431,3.17,HG
203,BC5,Core,Browning,Cassiope,2020,2020-08-09,2022-12-04,5.1345,4.6,5.1285,3.78,G 
208,BC6,Core,Browning,Cassiope,2020,2020-08-09,2022-12-04,5.0714,4.45,5.1567,3.5,HG
205,BC7,Core,Browning,Cassiope,2020,2020-08-09,2022-12-04,2.0046,4.14,2.1436,3.12,HG
222,BE1,Core,Browning,Empetrum,2020,2020-08-08,2022-12-04,5.0524,4.25,5.1283,3.13,HG
216,BE2,Core,Browning,Empetrum,2020,2020-08-08,2022-12-04,5.0924,4.68,5.0282,3.77,HG
221,BE3,Core,Browning,Empetrum,2020,2020-08-08,2022-12-04,5.282,4.54,5.2623,3.48,G
219,BE4,Core,Browning,Empetrum,2020,2020-08-08,2022-12-04,5.0907,4.03,5.0422,3.03,HG
225,BE5,Core,Browning,Empetrum,2020,2020-08-08,2022-12-04,5.3772,4.42,5.1637,3.52,HG
227,BE6,Core,Browning,Empetrum,2020,2020-08-08,2022-12-04,5.0077,4.36,5.3552,3.27,HG
220,BE7,Core,Browning,Empetrum,2020,2020-08-08,2022-12-04,5.0537,4.3,5.1555,3.24,HG
202,HC1,Core,Healthy,Cassiope,2020,2020-08-09,2022-12-04,5.2044,4.25,4.4876,3.2,HG
201,HC2,Core,Healthy,Cassiope,2020,2020-08-09,2022-12-04,5.0205,4.28,4.671,3.44,G
212,HC3,Core,Healthy,Cassiope,2020,2020-08-09,2022-12-04,5.0413,4.77,5.0938,3.6,HG
213,HC4,Core,Healthy,Cassiope,2020,2020-08-09,2022-12-04,0.9141,4.26,NA,NA,G
206,HC5,Core,Healthy,Cassiope,2020,2020-08-09,2022-12-04,1.2234,4.41,1.4175,3.38,G
214,HC6,Core,Healthy,Cassiope,2020,2020-08-09,2022-12-04,5.1754,4.25,1.9565,3.37,HG
207,HC7,Core,Healthy,Cassiope,2020,2020-08-09,2022-12-04,5.0827,5.27,5.095,4.13,HG
217,HE1,Core,Healthy,Empetrum,2020,2020-08-08,2022-12-04,5.3254,4.42,5.1165,3.5,HG
