,BE1,BE2,BE3,BE4,BE5,BE6,BE7,HE1,HE2,HE3,HE4,HE5,HE6,HE7,BC1,BC2,BC3,BC4,BC5,BC6,BC7,HC1,HC2,HC3,HC4,HC5,HC6,HC7
Aa,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
At,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Bn_DL,0,5,10,8,8,23,5,11,11,15,31,14,9,3,1,0,7,0,0,7,6,17,7,3,16,5,0,1
Bn_DH,0,0,0,0,1,2,0,0,0,0,1,0,1,0,4,0,3,0,0,2,0,1,0,0,0,0,0,0
Bn_DM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ca,5,11,8,2,5,2,4,0,6,10,0,0,2,4,6,13,7,8,0,2,1,11,10,4,0,8,5,2
Cb,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,9,1,4,0,2,1,3,1,1,0,2,0,0
Cc,0,2,3,0,0,1,0,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0
Cd,3,0,1,2,0,1,2,0,4,0,2,2,0,1,5,0,7,9,18,11,2,0,0,7,2,0,2,4
Ce,0,0,3,1,4,1,5,5,0,1,0,1,0,0,4,3,0,1,0,3,2,0,0,1,1,1,0,3
Ch_DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,1,5,0,0,4,0,5
Cn,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,10,8,2,0,0,1,10,4,1,1,1,0,1
Cp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Csp,2,0,0,0,0,1,0,1,3,2,0,0,0,2,2,12,5,12,2,9,0,2,8,1,0,3,4,0
Ct_DL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,22,14,31,33,29,35,68
