"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"BC1-16S",48902,41530,39977,39948,36346,36027
"BC3-16S",43073,36034,34263,34308,30838,30612
"BC4-16S",46495,38954,37616,37750,34703,34321
"BC5-16S",52988,44037,42684,42827,39083,38819
"BC6-16S",33146,28433,27259,27277,24479,24328
"BC7-16S",43626,34807,33559,33491,30499,30101
"BE1-16S",40345,35233,34197,34235,31575,31220
"BE2-16S",24472,20470,19792,19797,18104,17995
"BE3-16S",29326,25300,24449,24536,22645,22284
"BE4-16S",45693,34913,34170,34183,31862,31652
"BE5-16S",21840,18100,17486,17473,15893,15846
"BE6-16S",22045,17942,17425,17434,16099,15997
"BE7-16S",44966,38241,36980,36916,33927,33674
"HC1-16S",45830,37303,36165,36227,33563,33166
"HC2-16S",41476,34351,32956,32972,29848,29578
"HC3-16S",40342,33722,32018,32022,28644,28505
"HC4-16S",15406,11881,11297,11306,9872,9824
"HC5-16S",35395,27000,25987,25917,23293,23176
"HC6-16S",53725,43666,42551,42494,39458,39186
"HC7-16S",56768,46598,44239,44316,39515,39194
"HE1-16S",21856,18796,18055,18096,16415,16325
"HE2-16S",43920,34968,33967,34151,31446,31135
"HE3-16S",41759,34887,33987,33957,31474,31217
"HE4-16S",33629,27327,26315,26420,24076,23879
"HE5-16S",58082,40407,39584,39571,37062,36771
"HE6-16S",24002,19744,19160,19165,17683,17623
"HE7-16S",47672,39814,38748,38797,36341,36110
