Date,Start,End,Gas,Slope,R2,Ta,Flux,Treatment,Plot,Measurement,Replicate,Pressure_mbar,PAR_in,PAR_out,Air_temp,Windspeed_ms
2021-08-03,11:57:17,12:00:17,CO2,0.063,0.97,10.61,0.079,BC,1,Light,1,896.65,554.417,738.839,12.4347,0.5
2021-08-03,11:57:23,12:00:23,CH4,-0.08,0.99,10.63,-0.1,BC,1,Light,1,896.65,554.417,738.839,12.4347,0.5
2021-08-03,12:00:47,12:03:59,CH4,-0.074,0.98,10.81,-0.093,BC,1,Dark,1,896.65,0.111698,760.393,13.0581,0.5
2021-08-03,12:07:19,12:10:19,CO2,0.094,0.99,10.86,0.118,BC,1,Light,2,896.65,611.579,836.021,15.4485,0.5
2021-08-03,12:07:19,12:10:19,CH4,-0.105,1,10.86,-0.132,BC,1,Light,2,896.65,611.579,836.021,15.4485,0.5
2021-08-03,12:11:41,12:14:41,CO2,0.096,0.97,10.99,0.12,BC,1,Dark,2,896.65,0.10723,816.82,13.7931,0.5
2021-08-03,12:11:45,12:14:45,CH4,-0.094,0.99,10.99,-0.118,BC,1,Dark,2,896.65,0.10723,816.82,13.7931,0.5
2021-08-03,12:16:07,12:19:07,CO2,0.078,0.97,10.9,0.098,BC,1,Light,3,896.65,604.647,813.233,15.0289,0.5
2021-08-03,12:16:47,12:19:47,CH4,-0.081,0.99,10.76,-0.102,BC,1,Light,3,896.65,604.647,813.233,15.0289,0.5
2021-08-03,12:21:12,12:24:12,CH4,-0.136,0.98,10.29,-0.171,BC,1,Dark,3,896.65,0.104996,810.472,12.4367,0.5
2021-08-03,12:21:20,12:24:20,CO2,0.132,0.97,10.28,0.166,BC,1,Dark,3,896.65,0.104996,810.472,12.4367,0.5
2021-08-03,12:28:09,12:31:09,CO2,-0.008,0.14,10.13,-0.01,HC,1,Light,1,896.65,585.572,825.817,12.1766,0.5
2021-08-03,12:29:02,12:32:02,CH4,-0.008,0.61,10.11,-0.01,HC,1,Light,1,896.65,585.572,825.817,12.1766,0.5
2021-08-03,12:32:36,12:35:36,CO2,0.1,0.96,10.13,0.126,HC,1,Dark,1,896.65,0.0938266,1031.4,10.9622,0.5
2021-08-03,12:32:36,12:35:36,CH4,-0.07,0.93,10.13,-0.088,HC,1,Dark,1,896.65,0.0938266,1031.4,10.9622,0.5
2021-08-03,12:38:22,12:41:22,CO2,-0.25,0.97,10.85,-0.314,HC,1,Light,2,896.65,731.501,1420.1,17.9539,0.5
2021-08-03,12:39:05,12:42:05,CH4,-0.061,0.99,11.35,-0.076,HC,1,Light,2,896.65,731.501,1420.1,17.9539,0.5
2021-08-03,12:44:15,12:47:15,CO2,0.253,0.93,14.71,0.313,HC,1,Dark,2,896.65,0.149676,1436.34,15.1172,0.5
2021-08-03,12:44:15,12:47:15,CH4,-0.151,0.99,14.71,-0.187,HC,1,Dark,2,896.65,0.149676,1436.34,15.1172,0.5
2021-08-03,12:49:57,12:52:57,CH4,-0.098,0.98,14.4,-0.121,HC,1,Light,3,896.65,616.112,975.946,16.9419,0.5
2021-08-03,12:50:15,12:53:15,CO2,-0.241,0.99,14.22,-0.299,HC,1,Light,3,896.65,616.112,975.946,16.9419,0.5
2021-08-03,12:55:08,12:56:08,CH4,-0.153,0.54,12.47,-0.191,HC,1,Dark,3,896.65,0.0781888,1213.79,14.1942,0.5
2021-08-03,12:55:30,12:56:30,CO2,0.136,0.27,12.47,0.17,HC,1,Dark,3,896.65,0.0781888,1213.79,14.1942,0.5
2021-08-03,13:17:33,13:20:33,CO2,-0.22,0.88,12.06,-0.275,HC,2,Light,1,896.85,607.315,832.427,13.5172,1.51
2021-08-03,13:18:11,13:21:11,CH4,-0.007,0.78,11.96,-0.009,HC,2,Light,1,896.85,607.315,832.427,13.5172,1.51
2021-08-03,13:22:46,13:25:46,CH4,-0.01,0.87,12,-0.012,HC,2,Dark,1,896.85,0.120634,819.622,13.1547,1.51
2021-08-03,13:22:50,13:25:50,CO2,0.061,0.69,12,0.076,HC,2,Dark,1,896.85,0.120634,819.622,13.1547,1.51
2021-08-03,13:29:48,13:32:48,CO2,-0.295,0.98,11.07,-0.37,HC,2,Light,2,896.85,550.362,755.21,11.872,1.51
2021-08-03,13:30:05,13:33:05,CH4,-0.016,0.96,11.04,-0.02,HC,2,Light,2,896.85,550.362,755.21,11.872,1.51
2021-08-03,13:34:50,13:37:50,CH4,-0.008,0.69,10.84,-0.01,HC,2,Dark,2,896.85,0.0759548,806.097,12.1678,1.51
2021-08-03,13:35:24,13:38:24,CO2,0.099,0.64,10.96,0.124,HC,2,Dark,2,896.85,0.0759548,806.097,12.1678,1.51
2021-08-03,13:39:45,13:42:45,CO2,-0.221,0.98,11.46,-0.277,HC,2,Light,3,896.85,583.713,853.732,15.3525,1.51
