"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"BC1",18080,15579,15426,15417,12266,12266
"BC3",20741,17394,17146,17203,12461,12461
"BC4",882,369,265,274,184,184
"BC5",25062,21419,21074,21265,15809,15809
"BC6",35553,27091,26798,26900,18529,18481
"BC7",59770,49256,48607,49107,42485,42485
"BE1",34561,31308,31080,31177,29712,29712
"BE2",52676,45809,44824,45645,29368,29309
"BE3",48987,41096,40478,40875,28771,28771
"BE4",50721,44933,44649,44813,32501,32501
"BE5",44733,39047,38707,38903,35516,35516
"BE6",53327,39393,39164,39182,32724,32724
"BE7",23674,19636,18616,19444,15234,15234
"HC1",14555,11567,11428,11446,7354,7354
"HC2",10487,8798,8473,8670,5569,5569
"HC3",27325,23498,23010,23329,16388,16388
"HC4",43781,37521,37316,37332,28003,28003
"HC5",47222,39918,39713,39673,28060,28060
"HC6",30050,24230,23779,23999,18514,18451
"HC7",38161,29086,28529,28949,21762,21762
"HE1",56561,48713,48584,48594,39615,38110
"HE2",16187,11888,11702,11652,9438,9438
"HE3",49299,41037,40632,40933,28200,28199
"HE4",54704,45420,45056,45216,35083,35083
"HE5",42123,35602,35498,35465,30298,30298
"HE6",23791,19676,19565,19563,18288,18288
"HE7",22494,17258,16745,17119,12423,12423
