Plot,Plot,Group,Status,Vegetation,Gene_Copies_16S_ng,log_GC_16S,gc_g_dry_soil_16S,SR_Total_CrypHitOnly,SR_All,SR_Cryp,Northing,Easting,Elevation,Latitude,Longitude,Snow_depth_cm,ST_avg_NGS,SM_avg_NGS,ST_avg_gasflux,SM_avg_gasflux,gene_copies_18S,log_gc_18S,gc_g_dry_soil_18S,FB_ratio,N_percent_core_soil_sample,delta_15N_core_soil_sample,C_percent_core_soil_sample,delta_13C_core_soil_sample,delta_18O_core_soil_sample,pH_H2O_BSC_soil_sample_2020,pH_H2O_core_soil_sample_2020,GWC_BSC_2020,LOI_BSC_2020,LOI_core_2020,TOC_adj_core_2020,TN_adj_core_2020,TOC_adj_BSC_2020,TN_adj_BSC_2020
BC1,BC1,BC,Browning,Cassiope,1.12E+05,5.049218023,2.33E+09,25,34,25,7598362.956,417287.138,988.076,68.344051,18.49773,5,11.7,0.2799,8.85,0.291689216,8.95E+03,3.95E+00,1.86E+08,7.99E-02,0.264115028,1.464509696,6.123329948,-25.71121082,35.70066388,3.63,4.46,3.1,83.2087,11.8159,23.07372093,1.581461732,471.7131474,26.87250996
BC2,BC2,BC,Browning,Cassiope,1.06E+05,5.02325246,2.81E+09,24,30,23,7598272.375,417396.003,1000.575,68.343141,18.500124,20,11.1,0.2598,9.13,0.314047375,1.09E+03,3.04E+00,2.90E+07,1.03E-02,0.621426448,0.279083565,18.60774243,-26.20149871,30.22555883,3.62,4.35,3.7,92.8336,22.1558,47.196656,2.721902781,304.600532,14.66357994
BC3,BC3,BC,Browning,Cassiope,1.05E+05,5.021189299,2.25E+09,25,30,22,7598224.161,417452.987,1006.323,68.342658,18.501375,31,10.4,0.3467,8.48,0.368685636,6.40E+02,2.81E+00,1.37E+07,6.10E-03,0.316969329,1.511943287,9.840008223,-26.30499559,32.08903182,3.3,4.39,3.4,91.0402,15.3443,27.72533389,1.777847703,345.5607662,14.91932279
BC4,BC4,BC,Browning,Cassiope,1.20E+05,5.079181246,1.93E+09,25,34,26,7598224.848,417464.199,1006.017,68.342653,18.501647,33,10.2,0.3861,8.65,0.246320319,7.35E+02,2.87E+00,1.18E+07,6.13E-03,0.519778402,0.517341107,15.38547867,-26.11412005,29.43877897,3.38,4.18,4.1,84.854,16.6736,30.16585289,1.529444324,357.1414467,16.54785648
BC5,BC5,BC,Browning,Cassiope,1.00E+05,5,1.81E+09,19,23,13,7598241.017,417503.084,1002.023,68.342761,18.502626,104,11.4,0.2034,7.93,0.347591313,7.40E+02,2.87E+00,1.34E+07,7.40E-03,0.596786789,0.990209161,18.0202073,-26.74495769,27.90784889,3.47,4.6,0.7,25.7091,11.1995,20.0214237,1.167591781,141.2742382,8.42223139
BC6,BC6,BC,Browning,Cassiope,8.55E+04,4.931966115,1.11E+09,18,22,13,7598229.837,417492.676,1005.532,68.342671,18.502347,80,9.9,0.2571,9.28,0.225463269,7.70E+02,2.89E+00,9.98E+06,9.01E-03,0.147330215,1.41154944,3.509921282,-25.84467545,39.52169476,3.74,4.45,5.5,85.8543,9.5841,15.16149387,0.810821469,311.6847578,23.03201678
BC7,BC7,BC,Browning,Cassiope,8.95E+04,4.951823035,1.32E+09,15,25,16,7598221.165,417492.639,1007.469,68.342594,18.502324,45,10.1,0.3805,8.4,0.344250304,8.65E+03,3.94E+00,1.27E+08,9.66E-02,0.636529609,1.541779558,20.04756018,-25.36058087,32.3537691,3.25,4.14,4,82.3522,39.0658,62.45635039,4.016761449,446.3366337,14.7049505
BE1,BE1,BE,Browning,Empetrum,1.72E+05,5.234264124,1.33E+09,16,23,18,7598181.31,417456.024,1010.805,68.342273,18.501339,15,10.6,0.426,9,0.260002494,7.35E+04,4.87E+00,5.72E+08,4.27E-01,0.367800516,3.500468169,10.25686349,-25.9103423,30.03077246,3.21,4.25,3,91.076,9.7575,30.18367509,1.228129206,955.0695825,18.40159046
BE2,BE2,BE,Browning,Empetrum,1.11E+05,5.045322979,9.24E+08,17,21,14,7598181.398,417462.889,1010.67,68.342268,18.501505,9,10.1,0.4095,8.88,0.365356799,1.64E+03,3.21E+00,1.36E+07,1.48E-02,0.214184736,3.151702156,7.311657692,-26.29259479,34.41320606,3.27,4.68,2.6,95.6392,10.1463,17.61055691,0.765258032,772.0558882,15.03393214
BE3,BE3,BE,Browning,Empetrum,9.90E+04,4.995635195,4.85E+08,23,27,20,7598177.404,417466.882,1010.985,68.342228,18.501591,20,9.9,0.3629,9.2,0.288463602,4.53E+04,4.66E+00,2.22E+08,4.58E-01,0.151339146,7.437036847,4.827796655,-26.54082365,34.81745384,3.63,4.54,2.8,98.414,7.7854,23.81673608,0.797046573,802.6607539,12.33259424
