Plot,Group,SR_Total_CrypHitOnly,SR_All,SR_Cryp
BE1,BE,16,23,18
BE2,BE,17,21,14
BE3,BE,23,27,20
BE4,BE,18,28,20
BE5,BE,20,27,18
BE6,BE,22,30,23
BE7,BE,21,31,23
HE1,HE,16,24,16
HE2,HE,23,32,23
HE3,HE,21,26,17
HE4,HE,12,18,12
HE5,HE,12,18,12
HE6,HE,13,18,11
HE7,HE,19,21,15
BC1,BC,25,34,25
BC2,BC,24,30,23
BC3,BC,25,30,22
BC4,BC,25,34,26
BC5,BC,19,23,13
BC6,BC,18,22,13
BC7,BC,15,25,16
HC1,HC,24,32,24
HC2,HC,23,31,23
HC3,HC,22,28,20
HC4,HC,16,26,19
HC5,HC,23,29,20
HC6,HC,16,22,14
HC7,HC,22,33,22
