Plot,Group,Species_Richness,Species_Richness_Cryp,Aa,Bn,Ct,Ch,En,Sh,Spol,Vv,Vu,G1,S1,Jt,La,Bv,Dl,Hcel,Phca,Pl,Rc,An,Ao,Ca,Cb,Cc,Cd,Ce,Ci,Cn,Cp,Cu,Csp,Dc,Lsp,Na,Nsp,Oa,Of,Psp,Sg,Ssp,Su,Tv,UL1,At,Dsp,Hs,Pa,Pc,Livsp,RP,Stone,Litter,Bare,Shrubs,Graminoids,Herbs,Lichens,Bryophytes,Lichen_dom,Moss_dom,BSC_dom,VP_dom
BE1,BE,17,18,0,2,0,0,110,22,0,3,69,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,1,4,0,1,0,0,0,29,0,1,34,0,1,7,12,0,206,3,0,20,64,3,23,33,48
BE2,BE,17,14,0,21,0,0,119,33,0,66,0,2,64,0,0,0,2,0,0,0,0,0,0,11,0,2,0,0,0,1,0,1,0,0,0,4,0,0,0,0,2,0,0,1,0,0,31,0,4,19,0,9,2,21,0,239,66,2,22,54,14,22,0,20
BE3,BE,24,20,0,55,0,0,100,24,0,48,0,2,15,0,0,0,3,0,0,4,0,0,0,8,0,3,1,3,0,0,0,12,0,0,0,1,0,0,2,1,5,2,3,1,3,0,9,0,17,18,0,4,0,13,0,227,17,7,45,44,21,29,10,19
BE4,BE,18,20,0,41,0,0,101,27,0,76,0,1,25,0,0,0,3,0,0,0,4,0,0,2,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,4,0,17,0,3,31,0,7,0,23,0,245,26,7,14,51,22,31,10,18
BE5,BE,21,18,0,46,0,0,78,29,0,67,63,1,19,0,0,0,1,0,0,0,1,0,0,5,0,0,0,4,0,1,0,2,0,0,0,0,0,0,2,2,1,0,5,1,0,0,7,0,6,45,0,20,0,24,0,283,20,2,23,58,35,37,6,31
BE6,BE,22,23,0,120,0,0,121,14,0,19,0,5,25,0,0,0,0,0,0,2,0,0,0,2,1,1,1,1,0,0,0,11,1,0,0,0,0,0,1,0,4,1,12,0,0,7,6,0,5,29,0,0,0,12,0,274,30,2,36,47,12,17,3,28
BE7,BE,22,23,0,24,0,0,90,32,0,81,0,8,7,0,0,0,3,0,0,1,0,0,0,4,0,0,2,5,0,0,0,3,0,1,0,3,2,0,3,0,3,1,10,0,0,0,4,0,9,16,0,2,0,32,0,227,15,4,37,29,26,26,18,25
HE1,HE,17,16,0,40,1,0,156,4,0,17,41,0,15,0,0,0,21,1,0,0,0,0,0,0,1,0,0,6,0,1,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,2,0,0,1,0,17,0,50,0,259,15,22,16,3,0,0,2,18
HE2,HE,23,23,9,51,6,0,123,14,0,49,0,2,26,0,0,0,6,0,0,0,0,0,0,6,1,3,4,0,0,1,0,8,3,0,1,0,0,0,4,0,0,5,5,0,0,0,8,0,0,24,1,4,2,14,0,252,28,6,41,33,19,22,4,28
HE3,HE,21,17,0,100,0,0,113,3,0,68,0,40,12,1,0,0,1,0,0,0,3,0,0,10,0,0,0,1,0,1,0,13,2,0,0,0,0,0,2,4,0,2,4,0,0,0,1,0,5,13,0,0,0,18,0,284,53,4,39,19,12,13,7,24
