,Plot_no,Date,Year,Month,Treatment,Vegetation,Status,Replicate,Light,Dark
1,BC1,2021-08-03,2021,8,BC,Cassiope,Browning,1,0.079,NA
2,BC1,2021-08-03,2021,8,BC,Cassiope,Browning,2,0.118,0.12
3,BC1,2021-08-03,2021,8,BC,Cassiope,Browning,3,0.098,0.166
4,HC1,2021-08-03,2021,8,HC,Cassiope,Healthy,1,-0.01,0.126
5,HC1,2021-08-03,2021,8,HC,Cassiope,Healthy,2,-0.314,0.313
6,HC1,2021-08-03,2021,8,HC,Cassiope,Healthy,3,-0.299,0.17
7,HC2,2021-08-03,2021,8,HC,Cassiope,Healthy,1,-0.275,0.076
8,HC2,2021-08-03,2021,8,HC,Cassiope,Healthy,2,-0.37,0.124
9,HC2,2021-08-03,2021,8,HC,Cassiope,Healthy,3,-0.277,0.109
10,BC2,2021-08-03,2021,8,BC,Cassiope,Browning,1,0.018,0.062
11,BC2,2021-08-03,2021,8,BC,Cassiope,Browning,2,0.044,0.059
12,BC2,2021-08-03,2021,8,BC,Cassiope,Browning,3,0.062,0.082
13,BC3,2021-08-03,2021,8,BC,Cassiope,Browning,1,0.113,0.126
14,BC3,2021-08-03,2021,8,BC,Cassiope,Browning,2,0.126,0.148
15,BC3,2021-08-03,2021,8,BC,Cassiope,Browning,3,0.142,0.102
16,HC3,2021-08-03,2021,8,HC,Cassiope,Healthy,1,-0.049,0.025
17,HC3,2021-08-03,2021,8,HC,Cassiope,Healthy,2,-0.141,0.072
18,HC3,2021-08-03,2021,8,HC,Cassiope,Healthy,3,-0.236,0.046
19,HC4,2021-08-03,2021,8,HC,Cassiope,Healthy,1,-0.074,0.038
20,HC4,2021-08-03,2021,8,HC,Cassiope,Healthy,2,-0.076,0.035
21,HC4,2021-08-03,2021,8,HC,Cassiope,Healthy,3,-0.147,0.04
22,BC4,2021-08-03,2021,8,BC,Cassiope,Browning,1,0.046,0.023
23,BC4,2021-08-03,2021,8,BC,Cassiope,Browning,2,0.028,0.034
24,BC4,2021-08-03,2021,8,BC,Cassiope,Browning,3,0.065,0.032
25,BC5,2021-08-05,2021,8,BC,Cassiope,Browning,1,0.107,0.145
26,BC5,2021-08-05,2021,8,BC,Cassiope,Browning,2,0.121,0.111
27,BC5,2021-08-05,2021,8,BC,Cassiope,Browning,3,0.111,0.14
