Variable	Description	Units	Method / Notes	Appears in
Plot	Unique identifier for each field plot	–	"Assigned during field sampling.
Also referred to as Plot_no and Name"	"env.csv, Browning_lab_CN.csv, Browning_lab_pH.csv, Browning_lab_SM.csv, Browning_lab_SOM.csv,  Browning_lab_TOC_TN_v2.csv, Browning_SM_ST.csv, FullDataHits_curated.csv, FullDataHits_damage.csv, FullDataHits_damage_not_separated.csv, Gasflux.csv, Metadata.csv, PA_All.csv, Species_Richness.csv, Vegetation.csv, vegetation_curated.csv"
Plot_no	Unique identifier for each field plot	–	"Assigned during field sampling.
Also referred to as Plot and Name"	"browning_gpp_20230221.csv, curated_flux.csv"
Group	"Combination of dominant vegetation type and health status (CH, CB, EH, EB)"	–	"Derived from Vegetation and Status.
Also referred to as Treatment"	"Browning_SM_ST.csv, Metadata.csv, Species_Richness.csv, Vegetation.csv"
Treatment	"Combination of dominant vegetation type and health status (CH, CB, EH, EB)"	-	"Derived from Vegetation and Status.
Also referred to as Group"	"browning_gpp_20230221.csv, curated_flux.csv"
Status	Plot health status determined from percentage shrub browning during vegetation surveys	–	Healthy or Browning.	"browning_gpp_20230221.csv, Browning_lab_CN.csv, Browning_lab_pH.csv, Browning_lab_SM.csv, env.csv, Browning_lab_SOM.csv, Browning_lab_TOC_TN_v2.csv, curated_flux.csv, Metadata.csv, qPCR_Browning_recalc.csv"
Vegetation	Dominant evergreen shrub species defining the plot	–	Cassiope (Cassiope tetragona) or Empetrum (Empetrum nigrum ssp. hermaphroditum).	"browning_gpp_20230221.csv, Browning_lab_CN.csv, Browning_lab_pH.csv, Browning_lab_SM.csv, Browning_lab_SOM.csv, Browning_lab_TOC_TN_v2.csv, curated_flux.csv, env.csv, Metadata.csv, qPCR_Browning_recalc.csv"
Gene_Copies_16S_ng	Bacterial/archaeal 16S rRNA gene copies determined by qPCR	gene copies ng?¹ DNA	qPCR.	Metadata.csv
log_GC_16S	Log-transformed 16S gene copy number	log10(gene copies ng?¹ DNA)	Derived from Gene_Copies_16S_ng.	Metadata.csv
gc_g_dry_soil_16S	16S rRNA gene copy number standardized to dry soil mass	gene copies g?¹ dry soil	Derived from qPCR measurements.	Metadata.csv
SR_Total_CrypHitOnly	Total cryptogam species richness per plot	Species	Determined from point-frame vegetation surveys including direct intercept hits and presence/absence records.	"Metadata.csv, Species_Richness.csv"
SR_All	Total plant species richness per plot.	Species	Includes vascular and non-vascular plants recorded by point-frame survey using direct intercept hits and presence/absence observations.	"Metadata.csv, Species_Richness.csv"
SR_Cryp	Cryptogam species richness per plot	Species	Determined from point-frame vegetation surveys using direct intercept hits only.	"Metadata.csv, Species_Richness.csv"
Northing	Plot northing coordinate	m (SWEREF 99 TM)	Measured using differential GPS (dGPS) in August 2020.	Metadata.csv
Easting	Plot easting coordinate	m (SWEREF 99 TM)	Measured using differential GPS (dGPS) in August 2020.	Metadata.csv
Elevation	Plot elevation above sea level	m a.s.l.	Measured using differential GPS (dGPS).	Metadata.csv
Latitude	Geographic latitude of the plot	Decimal degrees	Calculated from SWEREF coordinates using https://latlong.mellifica.se/.	Metadata.csv
Longitude	Geographic longitude of the plot	Decimal degrees	Calculated from SWEREF coordinates using https://latlong.mellifica.se/.	Metadata.csv
Snow_depth_cm	Snow depth	cm	Measured in late winter 2021.	Metadata.csv
ST_avg_NGS	Mean soil temperature during the NGS sampling campaign	°C	Handheld measurements to ~5 cm depth. Four measurements per plot collected daily from 31 July–7 August 2020 (3 and 6 August not sampled).	Metadata.csv
SM_avg_NGS	Mean soil moisture during the NGS sampling campaign	m³ m?³	Handheld volumetric water content (VWC) measurements to ~5 cm depth. Four measurements per plot collected daily from 30 July–7 August 2020 (3 and 6 August not sampled).	Metadata.csv
ST_avg_gasflux	Mean soil temperature during the gas flux campaign	°C	Handheld measurements to ~5 cm depth. Four measurements per plot collected before gas flux measurements in August 2021.	Metadata.csv
SM_avg_gasflux	Mean soil moisture during the gas flux campaign	m³ m?³	Handheld volumetric water content (VWC) measurements to ~5 cm depth. Four measurements per plot collected before gas flux measurements in August 2021.	Metadata.csv
gene_copies_18S	Fungal 18S rRNA gene copy number	gene copies ng?¹ DNA	Quantified by quantitative PCR (qPCR).	Metadata.csv
log_gc_18S	Log-transformed 18S rRNA gene copy number	log10(gene copies ng?¹ DNA)	Derived from gene_copies_18S.	Metadata.csv
gc_g_dry_soil_18S	18S rRNA gene copy number standardized to dry soil mass	gene copies g?¹ dry soil	Derived from qPCR measurements.	Metadata.csv
FB_ratio	Fungal-to-bacterial abundance ratio	–	Calculated as the ratio of 18S to 16S gene copy numbers.	Metadata.csv
N_percent_core_soil_sample	Total nitrogen concentration in soil cores	% dry weight	Determined by isotope ratio mass spectrometry (IRMS) from soil cores collected in August 2020.	Metadata.csv
delta_15N_core_soil_sample	Stable nitrogen isotope composition (?¹?N)	‰	Determined by IRMS from soil cores collected in August 2020.	Metadata.csv
C_percent_core_soil_sample	Total carbon concentration in soil cores	% dry weight	Determined by IRMS from soil cores collected in August 2020.	Metadata.csv
delta_13C_core_soil_sample	Stable carbon isotope composition (?¹³C)	‰	Determined by IRMS from soil cores collected in August 2020.	Metadata.csv
delta_18O_core_soil_sample	Stable oxygen isotope composition (?¹?O)	‰	Determined by IRMS from soil cores collected in August 2020.	Metadata.csv
pH_H2O_BSC_soil_sample_2020	pH of biological soil crust samples	pH	Measured in a 1:5 soil:water suspension from BSC samples collected in August 2020.	Metadata.csv
pH_H2O_core_soil_sample_2020	pH of soil core samples	pH	Measured in a 1:5 soil:water suspension from 10 cm soil cores collected in August 2020.	Metadata.csv
