,Plot_no,Date,Year,Month,Treatment,Vegetation,Status,Replicate,NEE,ER,GPP,CH4,Pressure_mbar,PAR_in,PAR_out,Air_temp,Windspeed_ms,temp_avg,sm_avg,V,SWC
1,BC1,2021-08-03,2021,8,BC,Cassiope,Browning,1,0.079,NA,NA,-0.1,896.65,354.1710452,803.077,13.82838,0.5,8.85,678,0.678,0.291689216
2,BC1,2021-08-03,2021,8,BC,Cassiope,Browning,2,0.118,0.12,-0.002,-0.132,896.65,354.1710452,803.077,13.82838,0.5,8.85,678,0.678,0.291689216
3,BC1,2021-08-03,2021,8,BC,Cassiope,Browning,3,0.098,0.166,-0.068,-0.102,896.65,354.1710452,803.077,13.82838,0.5,8.85,678,0.678,0.291689216
4,HC1,2021-08-03,2021,8,HC,Cassiope,Healthy,1,-0.01,0.126,-0.136,-0.01,896.65,386.6857005,1137.9206,14.63036,0.5,8.075,689.75,0.68975,0.298962212
5,HC1,2021-08-03,2021,8,HC,Cassiope,Healthy,2,-0.314,0.313,-0.627,-0.076,896.65,386.6857005,1137.9206,14.63036,0.5,8.075,689.75,0.68975,0.298962212
6,HC1,2021-08-03,2021,8,HC,Cassiope,Healthy,3,-0.299,0.17,-0.469,-0.121,896.65,386.6857005,1137.9206,14.63036,0.5,8.075,689.75,0.68975,0.298962212
7,HC2,2021-08-03,2021,8,HC,Cassiope,Healthy,1,-0.275,0.076,-0.351,-0.009,896.85,580.4633333,813.7896667,13.58056667,1.51,8.225,800,0.8,0.371512128
8,HC2,2021-08-03,2021,8,HC,Cassiope,Healthy,2,-0.37,0.124,-0.494,-0.02,896.85,580.4633333,813.7896667,13.58056667,1.51,8.225,800,0.8,0.371512128
9,HC2,2021-08-03,2021,8,HC,Cassiope,Healthy,3,-0.277,0.109,-0.386,-0.015,896.85,580.4633333,813.7896667,13.58056667,1.51,8.225,800,0.8,0.371512128
10,BC2,2021-08-03,2021,8,BC,Cassiope,Browning,1,0.018,0.062,-0.044,-0.073,896.8833333,301.7052894,853.52,12.38323333,2.013333333,9.125,713.75,0.71375,0.314047375
11,BC2,2021-08-03,2021,8,BC,Cassiope,Browning,2,0.044,0.059,-0.015,-0.105,896.8833333,301.7052894,853.52,12.38323333,2.013333333,9.125,713.75,0.71375,0.314047375
12,BC2,2021-08-03,2021,8,BC,Cassiope,Browning,3,0.062,0.082,-0.02,-0.094,896.8833333,301.7052894,853.52,12.38323333,2.013333333,9.125,713.75,0.71375,0.314047375
13,BC3,2021-08-03,2021,8,BC,Cassiope,Browning,1,0.113,0.126,-0.013,-0.071,896.95,246.0810088,744.5775,11.7729,3.02,8.475,796,0.796,0.368685636
14,BC3,2021-08-03,2021,8,BC,Cassiope,Browning,2,0.126,0.148,-0.022,-0.095,896.95,246.0810088,744.5775,11.7729,3.02,8.475,796,0.796,0.368685636
15,BC3,2021-08-03,2021,8,BC,Cassiope,Browning,3,0.142,0.102,0.04,-0.08,896.95,246.0810088,744.5775,11.7729,3.02,8.475,796,0.796,0.368685636
16,HC3,2021-08-03,2021,8,HC,Cassiope,Healthy,1,-0.049,0.025,-0.074,-0.015,896.8833333,534.1703333,787.3126667,13.75506667,3.353333333,7.9,901.75,0.90175,0.455842655
17,HC3,2021-08-03,2021,8,HC,Cassiope,Healthy,2,-0.141,0.072,-0.213,-0.005,896.8833333,534.1703333,787.3126667,13.75506667,3.353333333,7.9,901.75,0.90175,0.455842655
18,HC3,2021-08-03,2021,8,HC,Cassiope,Healthy,3,-0.236,0.046,-0.282,-0.004,896.8833333,534.1703333,787.3126667,13.75506667,3.353333333,7.9,901.75,0.90175,0.455842655
19,HC4,2021-08-03,2021,8,HC,Cassiope,Healthy,1,-0.074,0.038,-0.112,-0.003,896.85,334.4903333,472.3103333,10.64650333,2.513333333,8,921.75,0.92175,0.477207893
