,Status,Vegetation
BC1,Browning,Cassiope
BC2,Browning,Cassiope
BC3,Browning,Cassiope
BC4,Browning,Cassiope
BC5,Browning,Cassiope
BC6,Browning,Cassiope
BC7,Browning,Cassiope
BE1,Browning,Empetrum
BE2,Browning,Empetrum
BE3,Browning,Empetrum
BE4,Browning,Empetrum
BE5,Browning,Empetrum
BE6,Browning,Empetrum
BE7,Browning,Empetrum
HC1,Healthy,Cassiope
HC2,Healthy,Cassiope
HC3,Healthy,Cassiope
HC4,Healthy,Cassiope
HC5,Healthy,Cassiope
HC6,Healthy,Cassiope
HC7,Healthy,Cassiope
HE1,Healthy,Empetrum
HE2,Healthy,Empetrum
HE3,Healthy,Empetrum
HE4,Healthy,Empetrum
HE5,Healthy,Empetrum
HE6,Healthy,Empetrum
HE7,Healthy,Empetrum
