Date,Well_No,Gene,Name,Status,Vegetation,Ct,Concentration,Working_concentration,Well_concentration,Gene_Copies_ng,log_GC,gc_g_dry_soil
2022-05-02,46,16S,BC1,Browning,Cassiope,14.2,2.24E+06,10,20,1.12E+05,5.049218023,2.33E+09
2022-05-02,44,16S,BC2,Browning,Cassiope,14.29,2.11E+06,10,20,1.06E+05,5.02325246,2.81E+09
2022-05-02,43,16S,BC3,Browning,Cassiope,14.29,2.10E+06,10,20,1.05E+05,5.021189299,2.25E+09
2022-05-02,36,16S,BC4,Browning,Cassiope,14.11,2.40E+06,10,20,1.20E+05,5.079181246,1.93E+09
2022-05-02,40,16S,BC5,Browning,Cassiope,14.36,2.00E+06,10,20,1.00E+05,5,1.81E+09
2022-05-02,28,16S,BC6,Browning,Cassiope,14.59,1.71E+06,10,20,8.55E+04,4.931966115,1.11E+09
2022-05-02,30,16S,BC7,Browning,Cassiope,14.52,1.79E+06,10,20,8.95E+04,4.951823035,1.32E+09
2022-05-02,70,16S,BE1,Browning,Empetrum,13.6,3.43E+06,10,20,1.72E+05,5.234264124,1.33E+09
2022-05-02,21,16S,BE2,Browning,Empetrum,14.22,2.22E+06,10,20,1.11E+05,5.045322979,9.24E+08
2022-05-02,34,16S,BE3,Browning,Empetrum,14.38,1.98E+06,10,20,9.90E+04,4.995635195,4.85E+08
2022-05-02,22,16S,BE4,Browning,Empetrum,14.28,2.12E+06,10,20,1.06E+05,5.025305865,9.82E+08
2022-05-02,25,16S,BE5,Browning,Empetrum,15.64,8.13E+05,10,20,4.07E+04,4.60906055,4.03E+08
2022-05-02,23,16S,BE6,Browning,Empetrum,14.83,1.44E+06,10,20,7.20E+04,4.857332496,6.87E+08
2022-05-02,32,16S,BE7,Browning,Empetrum,14.14,2.34E+06,10,20,1.17E+05,5.068185862,1.82E+09
2022-05-02,35,16S,HC1,Healthy,Cassiope,14.29,2.10E+06,10,20,1.05E+05,5.021189299,1.65E+09
2022-05-02,45,16S,HC2,Healthy,Cassiope,17.72,1.86E+05,10,20,9.30E+03,3.968482949,2.18E+08
2022-05-02,31,16S,HC3,Healthy,Cassiope,13.71,3.17E+06,10,20,1.59E+05,5.200029267,2.47E+09
2022-05-02,26,16S,HC5,Healthy,Cassiope,15.23,1.08E+06,10,20,5.40E+04,4.73239376,6.15E+08
2022-05-02,42,16S,HC6,Healthy,Cassiope,13.84,2.90E+06,10,20,1.45E+05,5.161368002,2.99E+09
2022-05-02,38,16S,HC7,Healthy,Cassiope,13.42,3.90E+06,10,20,1.95E+05,5.290034611,3.18E+09
2022-05-02,33,16S,HE1,Healthy,Empetrum,13.81,2.97E+06,10,20,1.49E+05,5.171726454,5.70E+08
2022-05-02,37,16S,HE2,Healthy,Empetrum,14.64,1.65E+06,10,20,8.25E+04,4.916453949,1.34E+09
2022-05-02,24,16S,HE3,Healthy,Empetrum,14.19,2.27E+06,10,20,1.14E+05,5.054995862,1.12E+09
2022-05-02,29,16S,HE4,Healthy,Empetrum,14.87,1.39E+06,10,20,6.95E+04,4.841984805,9.34E+08
2022-05-02,41,16S,HE5,Healthy,Empetrum,14.71,1.57E+06,10,20,7.85E+04,4.894869657,1.49E+09
2022-05-02,27,16S,HE6,Healthy,Empetrum,15.63,8.19E+05,10,20,4.10E+04,4.612253906,5.17E+08
2022-05-02,39,16S,HE7,Healthy,Empetrum,15.83,7.10E+05,10,20,3.55E+04,4.550228353,5.93E+08
2022-05-04,47,18S,BC1,Browning,Cassiope,14.93,1.79E+05,10,20,8.95E+03,3.951823035,1.86E+08
2022-05-04,45,18S,BC2,Browning,Cassiope,18.05,2.18E+04,10,20,1.09E+03,3.037426498,2.90E+07
2022-05-04,44,18S,BC3,Browning,Cassiope,18.84,1.28E+04,10,20,6.40E+02,2.806179974,1.37E+07
2022-05-04,37,18S,BC4,Browning,Cassiope,18.63,1.47E+04,10,20,7.35E+02,2.866287339,1.18E+07
2022-05-04,41,18S,BC5,Browning,Cassiope,18.62,1.48E+04,10,20,7.40E+02,2.86923172,1.34E+07
2022-05-04,28,18S,BC6,Browning,Cassiope,18.56,1.54E+04,10,20,7.70E+02,2.886490725,9.98E+06
2022-05-04,31,18S,BC7,Browning,Cassiope,14.98,1.73E+05,10,20,8.65E+03,3.937016107,1.27E+08
2022-05-04,29,18S,BE1,Browning,Empetrum,11.81,1.47E+06,10,20,7.35E+04,4.866287339,5.72E+08
2022-05-04,21,18S,BE2,Browning,Empetrum,17.45,3.28E+04,10,20,1.64E+03,3.214843848,1.36E+07
2022-05-04,35,18S,BE3,Browning,Empetrum,12.52,9.06E+05,10,20,4.53E+04,4.656098202,2.22E+08
2022-05-04,22,18S,BE4,Browning,Empetrum,12.34,1.03E+06,10,20,5.15E+04,4.711807229,4.77E+08
2022-05-04,25,18S,BE5,Browning,Empetrum,12.31,1.05E+06,10,20,5.25E+04,4.720159303,5.21E+08
2022-05-04,23,18S,BE6,Browning,Empetrum,13.17,5.86E+05,10,20,2.93E+04,4.46686762,2.80E+08
2022-05-04,33,18S,BE7,Browning,Empetrum,17.42,3.33E+04,10,20,1.67E+03,3.221414238,2.59E+07
2022-05-04,36,18S,HC1,Healthy,Cassiope,14.2,2.92E+05,10,20,1.46E+04,4.164352856,2.29E+08
2022-05-04,46,18S,HC2,Healthy,Cassiope,17.82,2.55E+04,10,20,1.28E+03,3.105510185,2.98E+07
2022-05-04,32,18S,HC3,Healthy,Cassiope,12.96,6.75E+05,10,20,3.38E+04,4.528273777,5.25E+08
2022-05-04,26,18S,HC5,Healthy,Cassiope,15.17,1.52E+05,10,20,7.60E+03,3.880813592,8.65E+07
2022-05-04,43,18S,HC6,Healthy,Cassiope,15.05,1.65E+05,10,20,8.25E+03,3.916453949,1.70E+08
2022-05-04,39,18S,HC7,Healthy,Cassiope,17.77,2.64E+04,10,20,1.32E+03,3.120573931,2.15E+07
2022-05-04,34,18S,HE1,Healthy,Empetrum,17.24,3.77E+04,10,20,1.89E+03,3.275311355,7.24E+06
2022-05-04,38,18S,HE2,Healthy,Empetrum,17.64,2.88E+04,10,20,1.44E+03,3.158362492,2.33E+07
2022-05-04,24,18S,HE3,Healthy,Empetrum,13.08,6.22E+05,10,20,3.11E+04,4.492760389,3.08E+08
2022-05-04,30,18S,HE4,Healthy,Empetrum,17.56,3.04E+04,10,20,1.52E+03,3.181843588,2.04E+07
2022-05-04,42,18S,HE5,Healthy,Empetrum,13.81,3.80E+05,10,20,1.90E+04,4.278753601,3.61E+08
2022-05-04,27,18S,HE6,Healthy,Empetrum,17.28,3.66E+04,10,20,1.83E+03,3.26245109,2.31E+07
2022-05-04,40,18S,HE7,Healthy,Empetrum,16.06,8.35E+04,10,20,4.18E+03,3.62065648,6.97E+07
